Date : 2024-12-11 09:22:34
Directory : c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass
Total : 89 files,  20034 codes, 424 comments, 560 blanks, all 21018 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\AddPalmares.js        | JavaScript         |         72 |          0 |          7 |         79 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\EditPalmares.js       | JavaScript         |        101 |          0 |          9 |        110 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\EditPalmaresPage.js   | JavaScript         |         97 |          0 |          4 |        101 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\ViewPalmares.js       | JavaScript         |         71 |          0 |          7 |         78 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\EditUser.js              | JavaScript         |        279 |          0 |         10 |        289 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\EditUserPage.js          | JavaScript         |         96 |          0 |          7 |        103 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\Register.js              | JavaScript         |        326 |          7 |         19 |        352 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\UserDetails.js           | JavaScript         |        122 |          0 |          7 |        129 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\ViewUsers.js             | JavaScript         |        202 |          0 |          9 |        211 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\AuthLoadingScreen.js                    | JavaScript         |        106 |          4 |         12 |        122 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\Loading.js                              | JavaScript         |         50 |          0 |          3 |         53 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\Login.js                                | JavaScript         |        146 |          2 |         14 |        162 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\Welcome.js                              | JavaScript         |         94 |          1 |         14 |        109 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\EditActivity.js                              | JavaScript         |         70 |          0 |         10 |         80 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\EditActivityScreen.js                        | JavaScript         |        157 |          0 |         14 |        171 |
