"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Log", "comment", "blank", "total"
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Shopping.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 18, 197
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\BackButton.js", "JavaScript", 22, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\BottomTabNavigator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Button.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Buttonlist.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Header.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\Logo.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\components\TextInput.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\core\Theme.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\EmailValidator.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\NameValidator.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\PasswordValidator.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\helpers\UsernameValidator.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\index.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\authConfig.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\babel.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\context\auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 3, 10, 61
